Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items
1075387,2,ALDERMAN,REFERENCE,PL1171 .D6 1963 v.4,1963,"Chinese character indexes,","Dougherty, Ching-yi.",X031919779,REFERENCE,1/10/18,1/1/00,REFERENCE,0,0,0,1
1075387,2,ALDERMAN,REFERENCE,PL1171 .D6 1963 v.5,1963,"Chinese character indexes,","Dougherty, Ching-yi.",X031919780,REFERENCE,1/10/18,1/1/00,REFERENCE,0,0,0,1
1036962,2,ALDERMAN,STACKS,PL1171 .D7 1964,1964,Chinese calligraphy.,"Driscoll, Lucy.",X000376730,BOOK,6/29/96,4/24/11,STACKS,0,0,1,1
1036963,2,ALDERMAN,STACKS,PL1171 .E4,1876,Introduction to the study of the Chinese characters.,"Edkins, Joseph,",X000376768,BOOK,6/29/96,5/7/98,STACKS,0,0,3,1
1248150,2,ALDERMAN,STACKS,PL1171 .F3 1987b,1987,Understanding Chinese characters : a beginner's guide to the Chinese language /,"Fazzioli, Edoardo.",X006136802,BOOK,6/30/96,2/2/14,STACKS,1,0,6,1
4790059,2,ALDERMAN,STACKS,PL1171 .F39 2008,2008,The Chinese written character as a medium for poetry : a critical edition /,"Fenollosa, Ernest,",X030471537,BOOK,11/4/08,5/12/18,CHECKEDOUT,1,2,1,1
2708385,2,ALDERMAN,STACKS,PL1171 .F85 1986,1986,Zi xing bian xi he shi zi = Zixing bianxi he shizi /,"Fu, Yonghe.",X001261659,BOOK,8/7/97,9/26/07,STACKS,0,0,1,1
1826964,2,ALDERMAN,STACKS,PL1171 .G65 1991,1991,Lóng is a dragon : Chinese writing for children /,"Goldstein, Peggy,",X001925421,BOOK,6/30/96,1/12/09,STACKS,0,0,6,1
6512550,2,ALDERMAN,STACKS,PL1171 .G8 2006,2006,Picture characters : learning Chinese characters through pictographs /,"Gu, Li-cheng,",X031717475,BOOK,2/26/15,9/19/17,STACKS,2,0,0,1
6388519,2,ALDERMAN,STACKS,PL1171 .G8 2014,2014,Gu Han zi fa zhan lun /,,X031729612,BOOK,9/16/14,1/1/00,STACKS,0,0,0,1
6138521,2,ALDERMAN,STACKS,PL1171 .G88 2013,2013,Ri chang sheng huo bian qian zhong de jiao yu : Ming Qing shi qi za zi yan jiu = Education in the ordinary life : the study of tsa-tzu in Ming and Qing dynasties /,"Gu, Yueqin,",X031615288,BOOK,10/9/13,1/1/00,STACKS,0,0,0,1
2709045,2,ALDERMAN,STACKS,PL1171 .H285 1982,1982,Han yu gu wen zi zi xing biao /,,X000544525,BOOK,8/12/97,9/26/07,STACKS,0,0,0,1
2709045,2,ALDERMAN,STACKS,PL1171 .H285 1982,1982,Han yu gu wen zi zi xing biao /,,X030333960,BOOK,10/10/07,10/22/07,STACKS,0,0,1,1
1036964,2,ALDERMAN,STACKS,PL1171 .H3 1801a,1972,"An explanation of the elementary characters of the Chinese, 1801","Hager, Giuseppe,",X001273199,BOOK,6/29/96,6/25/09,STACKS,0,0,0,1
7224388,2,ALDERMAN,STACKS,PL1171 .H33227 2017,2017,Post-lingual Chinese language learning : Hanzi pedagogy /,"Han, Jinghe",X031806291,BOOK,8/23/17,8/31/17,STACKS,0,0,0,1
2709337,2,ALDERMAN,STACKS,PL1171 .H34 1997,1997,Asia's orthographic dilemma /,"Hannas, Wm. C.,",X004106565,BOOK,8/12/97,7/21/15,STACKS,2,0,2,1
6138360,2,ALDERMAN,STACKS,PL1171 .H4 2013,2013,Duo chong shi jiao xia de nü shu ji nü shu wen hua yan jiu = Duchong shijiaoxia de nushu ji nushu wenhua yanjiu /,"He, Xiarong,",X031580980,BOOK,10/9/13,1/1/00,STACKS,0,0,0,1
776258,2,ALDERMAN,STACKS,PL1171 .H48 1985,1985,Wangma fenleifa : ausführliche Beschreibung des Netzcodes zur Klassifizierung chinesischer Schriftzeichen /,"Hesse, Rainer Hermann Albert.",X001281449,BOOK,6/29/96,9/26/07,STACKS,0,0,0,1
