"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"16095",461565,"X000425202","PA6675 .W33","ALDERMAN","Seneca, Lucan, Corneille; Studien zum Manierismus der römischen Kaiserzeit und der französischen Klassik.","Wanke, Christiane.",1964,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"16096",6439679,"X031653278","PA6675 .W55 2014","ALDERMAN","The greatest empire : a life of Seneca /","Wilson, Emily R.,",2014,"12/17/14","3/30/16",0,3,10,1,"2",FALSE,0
"16097",4078459,"X004808078","PA6675 .Z9 A43 2004","ALDERMAN","Wort und Wandlung : Senecas Lebenskunst /","Albrecht, Michael von.",2004,"10/26/04","5/11/14",0,1,3,1,"2",FALSE,0
"16098",454154,"X000129272","PA6675 .Z9 C67","ALDERMAN","Seneca /","Costa, C. D. N. (Charles Desmond Nuttall),",1974,"6/29/96","6/26/12",1,1,0,1,"2 14",FALSE,0
"16099",3860791,"X004644281","PA6675 .Z9 I53 1999","ALDERMAN","Incontri con Seneca : atti della Giornata di studio, Torino, 26 ottobre 1999 /","Incontri con Seneca",2001,"10/10/02","1/1/00",0,0,0,1,"2",FALSE,0
"16100",2961883,"X004412318","PA6675 .Z9 M37 1999","ALDERMAN","Lo sguardo della verità : cinque studi su Seneca /","Maso, Stefano.",1999,"11/4/99","5/11/14",0,1,3,1,"2",FALSE,0
"16101",430387,"X000713671","PA6675 .Z9 S4","ALDERMAN","Seneca : letture critiche /","",1976,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"16102",3721828,"X004550475","PA6675 .Z9 S454 2000","ALDERMAN","Seneca e il suo tempo : atti del convegno internazionale di Roma-Cassino, 11-14 novembre 1998 /","",2000,"5/29/01","11/8/17",1,1,0,1,"2",FALSE,0
"16103",5513896,"X030824085","PA6685 .B535 2009","ALDERMAN","Repertorium der Konjekturen in den Seneca-Tragödien /","Billerbeck, Margarethe.",2009,"12/14/11","12/27/11",0,1,0,1,"2",FALSE,0
"16104",1257084,"X001396369","PA6685 .B54 1988","ALDERMAN","Senecas Tragödien : sprachliche und stilistische Untersuchungen /","Billerbeck, Margarethe.",1988,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
