"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"12757",528100,"X000086529","PR5431 .W3 1970","CLEMONS","Shelley.","Waterlow, Sydney,",1970,"6/29/96","1/1/00",0,0,0,1,"3",FALSE,"0",0
"12758",533616,"X000015926","PR5438 .J3 1970","ALDERMAN","Shelley; an essay.","Jack, Adolphus Alfred,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12759",752614,"752614-1001","PR5438 .M35","ALDERMAN","Shelley,","Matthews, Geoffrey,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12760",1073918,"X000886518","PR5522 .M3 1970","ALDERMAN","Many moods; a volume of verse.","Symonds, John Addington,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12761",1073939,"X032039579","PR5532 .P6 1970","ALDERMAN","Poems and translations.","Synge, J. M. (John Millington),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12762",1074052,"X004034978","PR5608 .A1 1970","ALDERMAN","The luck of Barry Lyndon.","Thackeray, William Makepeace,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12763",1080212,"1080212-1001","PR5902 .C8 1970","ALDERMAN","A selection from the love poetry of William Butler Yeats.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12764",1080218,"X000338267","PR5904 .C3 1970","ALDERMAN","The cat and the moon and certain poems.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12765",1080223,"X000927087","PR5904 .G6 1970","ALDERMAN","The green helmet, and other poems.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12766",1080226,"X001475175","PR5904 .H6 1970","ALDERMAN","The hour glass.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12767",1080227,"X000503586","PR5904 .I6 1970","ALDERMAN","In the seven woods: being poems chiefly of the Irish heroic age.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",1,0,0,1,"2 10",FALSE,"0",0
"12768",1080234,"X000489330","PR5904 .M7 1970","ALDERMAN","Mosada.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12769",1080235,"X000338238","PR5904 .N4 1970","ALDERMAN","New poems.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12770",1080236,"X031831793","PR5904 .O4 1970","ALDERMAN","October blast.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12771",1080239,"X000338255","PR5904 .S35 1970","ALDERMAN","Seven poems and a fragment.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2 10",FALSE,"0",0
"12772",1080241,"X000279071","PR5904 .S67 1970","ALDERMAN","Stories of Michael Robartes and his friends: an extract from a record made by his pupils: and a play in prose.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12773",1080244,"X000427868","PR5904 .T86 1970","ALDERMAN","Two plays for dancers.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12774",1080251,"X000379225","PR5904 .W7 1970","ALDERMAN","The words upon the window pane: a play in one act, with notes upon the play and its subject.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12775",1080255,"X000366166","PR5906 .A54 1970","ALDERMAN","Estrangement: being some fifty thoughts from a diary kept by William Butler Yeats in the year nineteen hundred and nine.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12776",1080257,"X000317423","PR5906 .A553 1970","ALDERMAN","A packet for Ezra Pound.","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12777",1080261,"X000827818","PR5906 .A66 1970","ALDERMAN","Ah, sweet dancer:","Yeats, W. B. (William Butler),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12778",163389,"X032056876","PR5416 .L3","ALDERMAN","La mystique du Prometheus unbound de Shelley : essai d'interprétation /","La Cassagnère, Christian.",1970,"6/28/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12779",2411494,"X002623907","PR5906 .M87 1995","ALDERMAN","Family secrets : William Butler Yeats and his relatives /","Murphy, William M. (William Michael),",1995,"7/1/96","12/7/98",2,0,0,1,"2",FALSE,"0",0
