"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"8265",201046,"X001016999","PL2801 .N2 T9213 1979","ALDERMAN","Midnight /","Mao, Dun,",1979,"6/28/96","8/16/11",0,0,0,1,"2",TRUE,"0",0
"8266",4823584,"X030570862","PL2698 .L52 Z747 1996","ALDERMAN","Li Yu yan jiu = LiYu yanjiu /","Huang, Qiang,",1996,"2/26/09","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8267",4383214,"X030464656","PL2448 .S42 2007 v.2","ALDERMAN","Shandong jin wen ji cheng /","",2007,"3/25/08","1/1/00",0,0,0,2,"2",TRUE,"0",0
"8268",4755416,"X030507977","PL2252 .Q256 Q253 2002","ALDERMAN","Qian cao--Chen zhong she yan jiu /","Qin, Linfang.",2002,"8/25/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8269",4691083,"X030385349","PL1281 .H83 Y36 2008","ALDERMAN","Jing xiao ben Xu Shen yu shuo wen jie zi /","Yao, Xiaosui.",2008,"2/22/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8270",2690241,"X004029855","PL2878 .A76 L54 1996 v.1","ALDERMAN","Lian jian feng yun lu /","Liang, Yusheng.",1996,"11/12/97","4/22/09",2,0,0,3,"2",TRUE,"0",0
"8271",2690232,"X004029884","PL2878 .A76 L85 1996 v.2","ALDERMAN","Long feng bao chai yuan /","Liang, Yusheng.",1996,"11/12/97","4/22/09",2,0,0,3,"2",TRUE,"0",0
"8272",5187256,"X030711790","PL1279 .H68","ALDERMAN","Shi ci zhi yao /","Xie, Song.",1979,"7/28/10","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8273",5187194,"X030692811","PL2272.5 .Y89 v.4","ALDERMAN","Yue du he xin shang.","",1979,"7/28/10","1/1/00",0,0,0,1,"2",TRUE,"0",0
"8274",2925065,"X004469882","PL2922 .I3 Y25 1998 v.4","ALDERMAN","Yang Yi wen cun /","Yang, Yi.",1998,"7/1/99","10/26/07",0,0,0,1,"2",TRUE,"0",0
"8275",68714,"X000895885","PL2677 .L5 A23 1983","ALDERMAN","Goddesses, ghosts, and demons : the collected poems of Li He (790-816) /","Li, He,",1983,"6/28/96","5/2/11",0,0,0,1,"2",FALSE,"0",0
"8276",2923490,"X004340872","PL3031 .T3 T25 1998","ALDERMAN","Taiwan xian dai xiao shuo shi zong lun /","",1998,"6/24/99","10/26/07",0,0,0,1,"2",TRUE,"0",0
"8277",2914642,"X004319880","PL2812 .I437 .H813 1999","ALDERMAN","The money demon : an autobiographical romance /","Tianxuwosheng.",1999,"5/24/99","10/25/07",0,0,0,1,"2",FALSE,"0",0
