"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"41","PE 000001 .C66  N.S. V.137","PE1 .C66 n.s. v.137",3770393,"ALDERMAN",2001,"Writing the early modern English nation : the transformation of national identity in sixteenth- and seventeenth-century England /","","X006120040","STACKS","STACKS","BOOK","8/20/01","5/25/05",0,0,1,6,1,5108,6,0.000925640234495526,-0.442265566049004,-0.259760857457535,-0.0734346813765402,-0.219173203999182,0.37929398393778,-0.13313069666397,0.48283072938249,0.0276192114688456,0.562003647702405,2302,0.437996352297595,"0",1,6,0,"0",1,TRUE
"42","PE 000001 .C66  N.S. V.138","PE1 .C66 n.s. v.138",3823482,"ALDERMAN",2001,"A garland for Gissing /","","X006132711","STACKS","STACKS","BOOK","3/25/02","2/6/07",0,0,1,2,1,4486,2,0.000319233838786911,-0.442265566049004,-0.35533286416182,-0.356838155429707,-0.219173203999182,0.141071038480335,-0.363503908901634,0.503681862640809,0.637899560155347,0.57436654628552,2266,0.42563345371448,"0",1,2,0,"0",1,TRUE
"43","PE 000001 .C66  N.S. V.139","PE1 .C66 n.s. v.139",3882043,"ALDERMAN",2002,"Modernization and the crisis of memory : John Donne to Don DeLillo /","Wolf, Philipp.","X004529535","STACKS","STACKS","BOOK","8/27/02","8/31/12",1,0,2,13,1,2453,13,0.00212765957446809,-0.455780100776256,-0.423598583236309,0.422521398216501,-0.219173203999182,-0.6375579777817,0.32351530588633,0.523331406545076,0.475894141942263,0.874292593621475,1075,0.125707406378525,"1",2,13,0,"1",1,TRUE
"44","PE 000001 .C66  N.S. V.140","PE1 .C66 n.s. v.140",3883706,"ALDERMAN",2002,"Tradition and the poetics of self in nineteenth-century women's poetry /","","X004620886","STACKS","CHECKEDOUT","BOOK","9/9/02","3/7/19",1,2,3,6,1,74,4,0.000984090536329342,-0.455780100776256,-0.429324095158686,-0.215136418403123,0.156617860210036,-1.54870329489305,-0.110925482660608,0.653557607821583,0.0843171605374664,0.901913694392927,926,0.0980863056070731,"1",3,4,2,"1",1,TRUE
"45","PE 000001 .C66  N.S. V.141","PE1 .C66 n.s. v.141",3887315,"ALDERMAN",2002,"A changing world of words : studies in English historical lexicography, lexicology and semantics /","","X004641441","STACKS","STACKS","BOOK","9/27/02","12/16/09",0,0,1,2,1,3442,2,0.000329001480506662,-0.455780100776256,-0.437251727051207,-0.356838155429707,-0.219173203999182,-0.258775834602579,-0.359793191114206,0.529289440704077,0.809423899278045,0.688897382822642,1824,0.311102617177358,"0",1,2,0,"0",1,TRUE
"46","PE 000001 .C66  N.S. V.142","PE1 .C66 n.s. v.142",3907210,"ALDERMAN",2002,"Misreading England : poetry and nationhood since the Second World War /","Ingelbien, Raphaël.","X004667286","STACKS","STACKS","BOOK","12/17/02","11/3/06",0,0,0,3,1,4581,3,0.000500166722240747,-0.455780100776256,-0.472926070567553,-0.285987286916415,-0.219173203999182,0.177455571950523,-0.294767678783257,0.470431626393564,0.182030836353078,0.614262035014559,2105,0.385737964985441,"0",0,3,0,"0",1,TRUE
"47","PE 000001 .C66  N.S. V.143","PE1 .C66 n.s. v.143",3926518,"ALDERMAN",2002,"The life of the mind in Old English poetry /","Harbus, Antonina,","X004658916","STACKS","STACKS","BOOK","4/10/03","1/1/00",0,0,0,0,1,7079,0,0,-0.455780100776256,-0.523134405886855,-0.49853989245629,-0.219173203999182,1.1341773046719,-0.484780540244486,0.373718566514599,0.204780177446082,0.342133122085993,3100,0.657866877914007,"0",0,3,2,"1",2,TRUE
"48","PE 000001 .C66  N.S. V.143","PE1 .C66 n.s. v.143",3926518,"ALDERMAN",2002,"The life of the mind in Old English poetry /","Harbus, Antonina,","X004696460","STACKS","STACKS","BOOK","6/9/03","12/7/17",1,2,0,5,1,529,3,0.000858516483516484,-0.455780100776256,-0.549559845528592,-0.285987286916415,0.156617860210036,-1.37444052932531,-0.158630945737718,0.614659670783329,0.122522128978744,0.890298444310609,989,0.109701555689391,"1",0,3,2,"1",2,TRUE
"49","PE 000001 .C66  N.S. V.144","PE1 .C66 n.s. v.144",3939769,"ALDERMAN",2002,"The medieval chronicle II : proceedings of the 2nd International Conference on the Medieval Chronicle, Driebergen/Utrecht 16-21 July 1999 /","International Conference on the Medieval Chronicle","X004758095","STACKS","STACKS","BOOK","1/29/04","2/23/10",0,0,3,3,1,3373,3,0.000536672629695885,-0.455780100776256,-0.65261906013137,-0.285987286916415,-0.219173203999182,-0.285202495754611,-0.280899119306301,0.477535878847123,0.568476654356346,0.751684088753355,1597,0.248315911246645,"0",3,3,0,"0",1,TRUE
"50","PE 000001 .C66  N.S. V.145","PE1 .C66 n.s. v.145",3912010,"ALDERMAN",2002,"In words and deeds : the spectacle of incest in English Renaissance tragedy /","Luis Martínez, Zenón.","X004667634","STACKS","STACKS","BOOK","1/21/03","4/25/06",0,0,0,6,1,4773,6,0.00100620493040416,-0.455780100776256,-0.488340910358567,-0.0734346813765402,-0.219173203999182,0.25099062906922,-0.102524245411532,0.445819410303142,0.802348877070472,0.650149337283166,1980,0.349850662716834,"0",0,6,0,"0",1,TRUE
