Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
1790205,2,ALDERMAN,STACKS,PA4037 .S4215 1990,1990,Homer and the sacred city /,"Scully, Stephen,",X001857590,BOOK,6/30/96,5/16/13,STACKS,1,14,2,1,39
997611,2,ALDERMAN,STACKS,PA4037 .S423,1966,Les dieux d'Homère.,"Severyns, Albert.",X001638752,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
2943453,2,ALDERMAN,STACKS,PA4037 .S425 1999,1999,conventions and strategies of verisimilitude in Homer and Greek tragedy / Credible impossibilities :,"Scodel, Ruth.",X004341862,BOOK,9/8/99,12/11/15,STACKS,2,1,0,1,19
997612,2,ALDERMAN,STACKS,PA4037 .S43,1907,"Life in the Homeric age,","Seymour, Thomas D. (Thomas Day),",997612-1003,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
997612,2,ALDERMAN,STACKS,PA4037 .S43,1907,"Life in the Homeric age,","Seymour, Thomas D. (Thomas Day),",X000336558,BOOK,6/29/96,4/3/04,STACKS,0,0,0,1,2
997613,2,ALDERMAN,STACKS,PA4037 .S45 1922,1922,"The pattern of the Iliad,","Sheppard, John Tresidder,",X000305563,BOOK,6/29/96,5/13/05,STACKS,0,0,3,1,13
997614,2,ALDERMAN,STACKS,PA4037 .S46,1935,"Homeric essays,","Shewan, Alexander,",X000391519,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
693996,2,ALDERMAN,STACKS,PA4037 .S476 1987,1987,"Homer, The Iliad /","(Michael Stephen), Silk, M. S.",X001211027,BOOK,6/29/96,5/14/13,STACKS,1,5,24,1,191
1954547,2,ALDERMAN,STACKS,PA4037 .S49 1991,1991,allusion and interpretation in the Iliad / The power of Thetis :,"Slatkin, Laura M.",X002074033,BOOK,6/30/96,2/14/17,CHECKEDOUT,1,5,1,1,34
997615,2,ALDERMAN,STACKS,PA4037 .S52,1970,"The catalogue of the ships in Homer's Iliad,","Simpson, R. Hope.",X000207589,BOOK,6/29/96,5/9/15,STACKS,1,3,1,1,10
220130,2,ALDERMAN,STACKS,PA4037 .S522,1980,"Achilles, Patroklos and the meaning of philos /","Sinos, Dale S.",X000469968,BOOK,6/28/96,9/2/15,STACKS,1,0,1,1,34
3590023,2,ALDERMAN,STACKS,PA4037 .S538 2000,2000,entre phénomène linguistique et interprétation du récit dans les poèmes homériques/ Noms d'agent et invective:,"Schubert, Paul.",X006101097,BOOK,12/12/00,9/6/04,STACKS,0,0,1,1,1
997616,2,ALDERMAN,STACKS,PA4037 .S54 1929,1929,The original Iliad;,"Smith, Robinson,",X004865115,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
