Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
82604,2,ALDERMAN,STACKS,DC801 .V759 C43 1984 v.1,1984,Chartes et documents de la Sainte-Chapelle de Vincennes : XIVe et XVe siècles /,,X001012556,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
82604,2,ALDERMAN,STACKS,DC801 .V759 C43 1984 v.2,1984,Chartes et documents de la Sainte-Chapelle de Vincennes : XIVe et XVe siècles /,,X001012555,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
1343857,2,ALDERMAN,STACKS,DC801 .V78 H67 1988,1988,Histoire du Vivarais /,,X001460323,BOOK,6/30/96,7/18/02,STACKS,0,0,0,1,1
1310209,2,ALDERMAN,STACKS,DC801 .V785 N54 1988,1988,"Vizille, un mythe républicain / Le centenaire de la Révolution dauphinoise :","Nieto, Philippe.",X001505786,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,2
281670,2,ALDERMAN,STACKS,DC801 .Y77 B44,1977,Coutumes et folklores en Yvelines /,"Belot, Victor R.",X000225235,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
4224883,2,ALDERMAN,STACKS,DC802 .F82 G827 2004,2004,Vichy en Guadaloupe / La Guadeloupe en tan Sorin 1940-1943 :,"Sempaire, Eliane.",X004855852,BOOK,2/8/05,1/12/09,STACKS,0,0,0,1,0
514390,2,ALDERMAN,STACKS,DC81 .A2 A5 1908,1908,"Recueil des actes de Lothaire et de Louis V, rois de France, 954-987 /",France,X001098215,BOOK,6/29/96,6/30/03,STACKS,0,0,1,1,7
371082,2,ALDERMAN,STACKS,DC81 .L88 1975,1975,"Lothaire, Louis V., Charles de Lorraine, 954-991 / Les derniers Carolingiens :","Lot, Ferdinand,",X000288312,BOOK,6/28/96,10/19/18,CHECKEDOUT,0,86,0,1,197
2112002,2,ALDERMAN,STACKS,DC810 .G265 W37 1992,1992,d'après les inventaires après décès de Genainville (1736-1810) / La vie quotidienne dans le Vexin au XVIIIe siècle :,"Waro-Desjardins, Françoise.",X031888307,BOOK,6/30/96,5/3/17,STACKS,0,0,0,1,1
1313999,2,ALDERMAN,STACKS,DC810 .P85 C23 1942,1942,"French Canadian opinion on the war, January, 1940-June, 1941,","Armstrong, Elizabeth H.,",X031821649,BOOK,7/24/17,4/4/18,CHECKEDOUT,1,1,0,1,2
778770,2,ALDERMAN,STACKS,DC82 .A2 A9 1987b,1987,Autour de la France capétienne : personnages et institutions /,,X001263008,BOOK,6/29/96,1/1/00,STACKS,0,0,2,1,1
945411,2,ALDERMAN,STACKS,DC82 .A2 H3,1913,"Chroniques des comtes d'Anjou et des seigneurs d'Amboise,","Halphen, Louis,",X000981398,BOOK,6/29/96,2/3/14,STACKS,0,0,1,1,30
401895,2,ALDERMAN,STACKS,DC82 .A2 M62 1909,1909,"La chronique de Morigny (1095-1152),","Morigny (Abbey : Morigny-Champigny, France)",X000699031,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,1
416664,2,ALDERMAN,STACKS,DC82 .A2 M65 v.1,1936,"Chronique rimée de Philippe Mouskes,","Mousket, Philippe,",X001131524,BOOK,6/29/96,1/31/07,STACKS,0,0,0,1,3
416664,2,ALDERMAN,STACKS,DC82 .A2 M65 v.2,1936,"Chronique rimée de Philippe Mouskes,","Mousket, Philippe,",X001131525,BOOK,6/29/96,1/31/07,STACKS,0,0,0,1,3
2137026,2,ALDERMAN,STACKS,DC82 .A2 S63 1992,1992,Les Sociétés méridionales autour de l'an mil : répertoire des sources et documents commentés /,,X002252486,BOOK,7/1/96,8/28/13,STACKS,0,0,0,1,6
